Type,Timestamp,ProcessStepName,Parameter,Pump To Pressure,Pump Pressure,Step Time,Log Interval,Pump Time,CHF3 (100) (sccm),CF4 (100) (sccm),SF6 (100) (sccm),C4F8 (100) (sccm),Ar (100) (sccm),O2 (100) (sccm),Table Temperature (C),Water Temperature (C),Process State,Elapsed Time,Ignore Tolerance,Rf Hold,Pressure (mTorr),Position (Deg),Position Mode,LPS Strike Pressure (mTorr),LPS Dc Bias (volts),LPS Ramp Rate,HF Power (W),HF Reflected Power (W),ICP Power (W),ICP Reflected Power (W),Upper Magnitude (%),Upper Phase (%),Lower Magnitude (%),Lower Phase (%),DC Bias (V),Lf232 Power (W),Lf232 Reflected Power (W),Tune (%),Load (%),Hold,Manual,Frequency (kHz),Pulsed,Hi Power (W),Low Power (W),Pulse Time (Hz),Duty Cycle (%),Helium Pressure (Torr),Helium Flow,Helium Flow[1],He Leak Mode,Endpoint State,Endpoint,Signal Smooth Time (Secs),Endpoint Closed Time (Secs),Endpoint Type,Endpoint Threshold Type,Endpoint Normalisation Time (Secs),Endpoint Normalisation (percent),Endpoint OverEtch Time (Secs),Endpoint Threshold (percent),Endpoint Capture Time (Secs),Endpoint OverEtch (percent),Etch Depth,Refractive Index,Laser Wavelength,Etch Depth[1],Etch Rate,Derivative Smooth Time (Secs),Derivative Gain,Endpoint Type[1],Wavelength 1 (%),Wavelength 2 (%),Wavelength 3 (%),Integration Time (ms),Sample Average,Boxcar Width,taskID,BatchID,LotID,recipe,UID,user
Data,2024/08/29 15:24:31.864,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:59:43.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.4 ,22 ,14 ,Process started  all tolerances OK,40.574,,,50.5 ,28.2 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,36.0 ,62.0 ,67.7 ,500.6 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:24:36.879,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:59:38.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.3 ,22 ,14 ,Process started  all tolerances OK,45.589,,,50.5 ,27.9 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,36.0 ,62.0 ,67.8 ,500.9 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:24:41.910,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:59:33.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.5 ,22 ,14 ,Process started  all tolerances OK,50.62,,,50.6 ,27.8 ,,,,,201 ,1 ,1996 ,1 ,35.0 ,36.0 ,62.0 ,67.8 ,502.1 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:24:46.957,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:59:28.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.4 ,22 ,14 ,Process started  all tolerances OK,55.667,,,50.6 ,27.6 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,36.0 ,62.1 ,67.8 ,503.3 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:24:51.988,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:59:23.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.2 ,22 ,14 ,Process started  all tolerances OK,60.698,,,50.6 ,27.6 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,36.0 ,62.3 ,67.8 ,502.3 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:24:57.049,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:59:18.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.5 ,22 ,14 ,Process started  all tolerances OK,65.75999,,,50.6 ,27.5 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,36.0 ,62.3 ,67.8 ,502.6 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:25:02.080,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:59:13.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.0 ,22 ,14 ,Process started  all tolerances OK,70.79099,,,50.6 ,27.5 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,36.0 ,62.3 ,67.7 ,502.6 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:25:07.142,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:59:08.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.8 ,22 ,14 ,Process started  all tolerances OK,75.85299,,,50.6 ,27.5 ,,,,,201 ,1 ,1996 ,1 ,35.0 ,35.9 ,62.3 ,67.7 ,503.3 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:25:12.157,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:59:03.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.4 ,22 ,14 ,Process started  all tolerances OK,80.86799,,,50.6 ,27.4 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,36.0 ,62.3 ,67.8 ,505.3 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:25:17.188,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:58:58.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.5 ,22 ,14 ,Process started  all tolerances OK,85.89899,,,50.6 ,27.3 ,,,,,201 ,1 ,1996 ,1 ,35.0 ,35.9 ,62.5 ,67.7 ,504.5 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:25:22.203,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:58:53.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.6 ,22 ,14 ,Process started  all tolerances OK,90.91399,,,50.6 ,27.3 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,35.9 ,62.5 ,67.7 ,505.0 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:25:27.250,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:58:48.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.3 ,22 ,14 ,Process started  all tolerances OK,95.96098,,,50.6 ,27.3 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,35.9 ,62.5 ,67.7 ,505.3 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:25:32.282,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:58:43.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.4 ,22 ,14 ,Process started  all tolerances OK,100.992,,,50.6 ,27.3 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,35.9 ,62.5 ,67.7 ,505.5 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:25:37.297,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:58:38.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.1 ,22 ,14 ,Process started  all tolerances OK,106.007,,,50.6 ,27.3 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,35.9 ,62.5 ,67.7 ,505.7 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:25:42.328,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:58:33.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.5 ,22 ,14 ,Process started  all tolerances OK,111.038,,,50.6 ,27.3 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,35.9 ,62.5 ,67.8 ,506.2 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:25:47.359,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:58:28.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.1 ,22 ,14 ,Process started  all tolerances OK,116.069,,,50.6 ,27.3 ,,,,,201 ,1 ,1996 ,1 ,35.0 ,35.9 ,62.5 ,67.7 ,506.2 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:25:52.405,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:58:23.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.8 ,22 ,14 ,Process started  all tolerances OK,121.115,,,50.6 ,27.3 ,,,,,201 ,1 ,1996 ,1 ,35.0 ,35.9 ,62.7 ,67.8 ,506.2 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:25:57.452,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:58:17.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.4 ,22 ,14 ,Process started  all tolerances OK,126.162,,,50.7 ,27.2 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,35.9 ,62.6 ,67.7 ,507.0 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:26:02.467,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:58:12.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.8 ,22 ,14 ,Process started  all tolerances OK,131.177,,,50.6 ,27.2 ,,,,,201 ,1 ,1995 ,1 ,35.1 ,35.9 ,62.7 ,67.8 ,507.2 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:26:07.498,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:58:07.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.5 ,22 ,14 ,Process started  all tolerances OK,136.208,,,50.7 ,27.2 ,,,,,201 ,1 ,1995 ,1 ,35.0 ,35.9 ,62.6 ,67.7 ,507.0 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:26:12.560,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:58:02.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.4 ,22 ,14 ,Process started  all tolerances OK,141.27,,,50.6 ,27.2 ,,,,,201 ,1 ,1996 ,1 ,35.0 ,35.9 ,62.6 ,67.7 ,507.0 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:26:17.622,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:57:57.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.7 ,22 ,14 ,Process started  all tolerances OK,146.332,,,50.7 ,27.2 ,,,,,201 ,1 ,1995 ,1 ,35.1 ,35.9 ,62.7 ,67.8 ,507.7 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:26:22.669,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:57:52.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.4 ,22 ,14 ,Process started  all tolerances OK,151.379,,,50.6 ,27.1 ,,,,,201 ,1 ,1995 ,1 ,35.1 ,35.9 ,62.7 ,67.8 ,507.2 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:26:27.684,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:57:47.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.4 ,22 ,14 ,Process started  all tolerances OK,156.394,,,50.6 ,27.1 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,35.9 ,62.7 ,67.8 ,507.0 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:26:32.715,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:57:42.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.6 ,22 ,14 ,Process started  all tolerances OK,161.425,,,50.6 ,27.1 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,35.9 ,62.7 ,67.8 ,507.4 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:26:37.762,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:57:37.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.5 ,22 ,14 ,Process started  all tolerances OK,166.472,,,50.6 ,27.2 ,,,,,201 ,1 ,1995 ,1 ,35.1 ,35.9 ,62.7 ,67.8 ,507.2 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:26:42.777,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:57:32.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.5 ,22 ,14 ,Process started  all tolerances OK,171.487,,,50.5 ,27.1 ,,,,,201 ,1 ,1995 ,1 ,35.1 ,35.9 ,62.7 ,67.7 ,506.7 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:26:47.823,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:57:27.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.4 ,22 ,14 ,Process started  all tolerances OK,176.533,,,50.6 ,27.1 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,35.9 ,62.7 ,67.7 ,507.4 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:26:52.839,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:57:22.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.6 ,22 ,14 ,Process started  all tolerances OK,181.549,,,50.6 ,27.1 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,35.9 ,62.7 ,67.8 ,507.0 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:26:57.901,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:57:17.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.5 ,22 ,14 ,Process started  all tolerances OK,186.611,,,50.6 ,27.1 ,,,,,201 ,1 ,1996 ,1 ,35.0 ,35.9 ,62.7 ,67.7 ,507.0 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:27:02.932,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:57:12.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.7 ,22 ,14 ,Process started  all tolerances OK,191.642,,,50.6 ,27.1 ,,,,,201 ,1 ,1995 ,1 ,35.1 ,35.9 ,62.7 ,67.8 ,506.7 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
Data,2024/08/29 15:27:07.962,OPT - O2 CHAMBER CLEAN,Readbacks,,7.50e-09,02:57:07.000,,00:00:00.000,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.5 ,22 ,14 ,Process started  all tolerances OK,196.672,,,50.6 ,27.1 ,,,,,201 ,1 ,1996 ,1 ,35.1 ,35.9 ,62.7 ,67.8 ,506.5 ,0 ,0 ,38 ,0 ,,,,,,,,,0.0 ,0.0 ,,,OFF,99.9 ,,,,,,,,,,,,,,off,off,,,,,,,,,,,,LotID,OPT - O2 CHAMBER CLEAN,,user
